Identifier,Female,Age,Gradespassed15,ReadUrdu16,Financialconditionoverlastyear22,Collectivehouseholdincome112,Ownahouse122,Ownaland123,ClientofnonIslamicinstitution32,RecitingQuran33,Attendingreligiousgatherings34,Consultingreligiouscholar310,ListTreatment,Listexperiment
ID0236,1,55,8,0,3,2,1,0,0,2,4,2,1,"3"
ID0239,1,25,5,1,3,2,1,0,0,2,4,2,1,"2"
ID0240,1,48,0,0,3,2,1,0,0,1,3,0,1,"2"
ID0241,1,42,10,0,3,2,1,0,0,2,3,2,0,"2"
ID0242,1,44,10,2,4,4,1,0,0,1,3,3,1,"2"
ID0243,1,41,5,1,4,3,0,1,1,3,4,2,1,"2"
ID0244,1,52,8,2,3,4,1,1,0,4,2,1,1,"3"
ID0246,1,29,7,2,5,3,1,0,0,2,3,1,0,"2"
ID0247,1,39,8,2,3,3,1,0,0,2,1,0,0,"2"
ID0250,1,46,8,2,4,4,1,0,0,2,3,0,0,"2"
ID0251,1,45,0,0,4,3,1,1,0,0,4,0,1,"2"
ID0256,1,52,9,2,3,3,1,0,0,2,3,3,1,"2"
ID0257,1,35,6,0,4,2,1,0,0,0,4,2,1,"2"
ID0259,1,37,6,0,3,3,1,0,0,2,3,3,1,"2"
ID0263,1,46,5,1,4,3,1,0,0,1,1,2,0,"2"
ID0264,1,36,10,2,4,3,1,1,0,1,1,0,0,"2"
ID0265,1,27,0,0,3,3,1,0,0,0,1,0,0,"2"
ID0266,1,47,0,0,3,4,1,0,0,1,4,0,0,"2"
ID0267,1,37,5,2,4,3,1,1,0,1,2,2,0,"2"
ID0269,1,33,0,0,3,2,1,0,0,1,3,2,0,"2"
ID0270,1,25,8,2,3,3,1,1,0,2,4,2,0,"1"
ID0271,1,44,11,2,5,3,1,0,1,2,1,2,0,"2"
ID0272,1,26,7,2,3,4,0,1,0,1,1,3,1,"2"
ID0274,1,38,4,1,3,4,1,0,0,2,1,2,0,"2"
ID0275,1,24,6,0,4,3,1,1,0,1,4,2,0,"3"
ID0277,0,32,8,2,3,3,1,0,0,2,2,0,1,"2"
ID0279,1,20,3,2,3,3,1,1,0,1,4,0,1,"2"
ID0284,1,41,7,2,3,3,1,0,0,2,2,0,1,"2"
ID0287,1,44,8,2,3,3,1,0,1,2,2,2,1,"3"
ID0288,1,24,10,2,3,3,1,0,0,3,1,3,1,"1"
ID0289,1,25,7,2,3,4,1,0,0,4,4,0,1,"2"
ID0292,1,33,8,0,3,4,1,0,0,0,3,2,0,"2"
ID0293,1,34,2,1,3,3,1,1,0,2,3,2,0,"2"
ID0297,1,29,5,2,3,3,1,1,0,4,2,0,0,"2"
ID0298,1,35,10,2,5,4,1,1,0,2,2,1,0,"2"
ID0299,1,32,0,0,4,4,1,0,0,0,1,0,0,"2"
ID0300,1,33,9,2,2,3,1,0,0,2,3,1,0,"2"
ID0301,1,29,10,2,5,3,1,0,0,2,2,2,0,"2"
ID0302,1,26,0,0,3,4,1,1,0,1,2,2,1,"3"
ID0306,1,45,0,0,4,3,1,1,0,1,2,2,1,"3"
ID0307,1,54,10,2,2,4,1,0,0,2,1,2,1,"2"
ID0308,1,44,6,2,3,3,1,1,0,1,3,2,0,"2"
ID0310,1,49,7,2,4,3,1,0,0,1,2,3,0,"2"
ID0312,1,32,0,0,4,2,1,0,0,1,2,0,1,"2"
ID0315,1,25,7,2,3,3,1,1,0,1,3,3,1,"2"
ID0316,1,37,6,1,4,4,1,1,0,1,2,0,0,"1"
ID0317,1,37,0,1,3,3,1,1,0,2,4,0,1,"3"
ID0320,1,39,5,2,3,3,1,1,0,1,2,2,1,"3"
ID0322,1,25,12,2,2,4,1,1,0,4,2,0,1,"2"
ID0323,1,35,0,0,3,3,1,1,0,1,4,0,0,"2"
ID0324,1,37,10,2,3,4,1,1,0,1,3,2,0,"2"
ID0325,1,55,5,2,3,4,1,1,0,1,4,2,0,"2"
ID0326,1,42,7,2,4,4,1,1,0,2,4,1,0,"2"
ID0329,0,22,8,2,3,2,1,1,1,3,4,0,1,"3"
ID0333,0,33,5,1,4,2,1,1,0,3,3,2,1,"2"
ID0335,0,49,8,2,4,3,1,1,0,3,2,2,1,"2"
ID0336,0,28,8,2,3,2,1,1,0,1,1,0,1,"3"
ID0337,0,37,12,2,3,3,1,1,0,1,3,2,1,"2"
ID0338,0,38,10,2,4,3,1,1,0,1,2,2,1,"2"
ID0339,0,26,5,1,3,2,1,1,0,1,2,2,1,"2"
ID0340,1,31,8,2,3,2,0,0,0,1,3,2,1,"2"
ID0343,1,35,0,0,3,1,1,1,0,2,1,1,1,"2"
ID0344,1,42,0,2,3,1,1,1,0,0,1,0,1,"2"
ID0345,1,32,0,0,3,1,0,1,0,1,1,0,1,"2"
ID0346,1,37,0,0,3,2,1,1,0,0,4,0,1,"2"
ID0347,1,31,10,2,5,3,1,1,0,1,1,0,1,"2"
ID0348,1,30,5,2,2,1,1,0,0,1,1,2,1,"2"
ID0350,1,30,10,2,3,3,1,1,0,1,2,2,1,"2"
ID0352,1,28,0,0,3,1,1,1,1,0,4,2,1,"2"
ID0353,1,42,5,2,2,2,1,1,1,1,3,0,1,"3"
ID0354,1,45,0,0,4,1,1,0,0,1,3,3,1,"2"
ID0356,1,34,10,2,1,1,1,1,0,2,1,2,1,"2"
ID0357,1,35,5,2,1,2,1,0,0,2,2,2,1,"2"
ID0360,1,22,5,2,2,1,1,1,0,2,1,1,1,"2"
ID0361,1,35,10,2,3,1,1,1,0,2,2,2,1,"2"
ID0363,1,31,5,2,3,4,1,1,1,2,3,3,1,"2"
ID0364,1,27,10,2,3,2,1,1,0,1,2,2,1,"2"
ID0365,1,55,8,2,3,2,1,1,0,1,2,2,1,"2"
ID0366,1,43,0,0,2,1,1,1,0,3,3,1,1,"3"
ID0367,1,47,0,0,3,99,0,0,0,0,2,3,1,"2"
ID0368,1,31,0,0,2,88,1,1,0,2,4,3,1,"2"
ID0369,1,48,10,2,3,4,1,1,0,4,4,3,1,"3"
ID0370,1,49,0,0,3,1,1,1,1,3,2,2,1,"2"
ID0371,1,36,5,1,2,1,1,1,1,1,3,2,1,"3"
ID0372,1,35,0,0,3,2,1,0,1,1,3,2,1,"3"
ID0373,1,47,0,0,2,2,1,1,1,1,3,2,1,"3"
ID0374,1,37,0,0,3,2,1,1,1,0,4,3,1,"3"
ID0375,1,30,5,1,2,2,1,1,1,1,1,2,1,"3"
ID0376,1,33,8,2,2,1,1,1,1,1,3,2,1,"3"
ID0377,1,22,8,2,3,2,1,1,1,1,3,2,0,"2"
ID0378,0,32,14,2,4,2,1,1,0,1,1,2,0,"2"
ID0379,0,30,6,1,4,2,1,1,0,0,4,1,0,"2"
ID0380,0,25,10,2,4,3,1,1,0,1,3,3,0,"2"
ID0381,0,45,5,1,4,2,1,1,0,3,3,2,0,"2"
ID0382,0,22,5,0,4,2,1,1,0,3,2,3,0,"2"
ID0383,0,40,0,0,3,2,1,1,0,1,2,2,0,"2"
ID0384,0,29,8,2,3,3,1,1,0,2,2,2,0,"2"
ID0385,0,28,0,0,3,3,1,1,0,2,2,2,0,"2"
ID0386,0,46,5,1,3,2,1,1,0,3,4,2,0,"2"
ID0387,0,41,5,2,3,2,1,1,0,2,3,2,0,"2"
ID0388,0,36,8,2,3,2,1,1,0,1,2,2,0,"2"
ID0389,1,33,0,0,3,3,1,1,0,2,3,2,0,"2"
ID0390,1,40,0,0,3,2,1,1,0,1,1,0,0,"2"
ID0391,1,52,0,0,3,1,1,1,0,1,3,0,0,"2"
ID0392,1,52,0,0,3,1,1,1,0,0,4,2,0,"2"
ID0393,1,42,0,0,5,2,1,1,0,1,1,0,0,"2"
ID0394,1,42,0,0,4,4,1,1,0,2,3,2,0,"2"
ID0395,1,27,10,2,3,2,1,0,0,1,2,2,0,"2"
ID0396,1,47,10,2,3,2,0,1,1,2,1,3,0,"2"
ID0397,1,50,0,0,2,1,1,1,0,0,3,3,0,"2"
ID0398,1,49,0,0,2,1,0,1,0,1,3,0,0,"2"
ID0399,1,42,0,0,1,1,1,1,1,1,1,3,0,"2"
ID0400,1,43,0,0,2,2,1,1,0,1,1,3,0,"2"
ID0401,1,28,0,0,2,1,0,0,0,0,4,1,0,"2"
ID0402,1,35,5,0,5,2,1,0,0,4,2,2,0,"2"
ID0403,1,31,10,2,1,2,1,1,0,1,1,3,0,"2"
ID0404,1,30,8,2,1,3,1,1,0,1,1,3,0,"2"
ID0405,1,31,5,2,2,2,1,0,0,2,2,2,0,"2"
ID0406,1,17,3,1,2,1,1,0,0,3,2,2,0,"1"
ID0407,1,18,0,1,1,2,1,1,0,3,2,2,0,"2"
ID0408,1,36,0,0,2,1,0,0,0,0,1,2,0,"2"
ID0409,1,30,0,2,3,2,1,0,0,2,1,2,0,"2"
ID0410,1,35,5,2,2,2,1,1,1,1,3,3,0,"2"
ID0411,1,44,5,2,3,1,0,1,0,1,3,2,0,"2"
ID0412,1,46,0,1,4,3,1,1,0,1,1,0,0,"2"
ID0413,1,29,5,2,2,3,1,1,0,3,4,2,0,"2"
ID0414,1,37,5,2,3,2,1,1,0,2,2,2,0,"2"
ID0415,1,34,8,2,3,2,1,1,0,2,2,2,0,"2"
ID0416,1,50,10,2,3,3,1,1,0,4,4,2,0,"2"
ID0420,1,18,0,0,2,1,1,1,1,0,4,2,0,"2"
ID0421,1,26,0,0,2,1,1,0,1,1,4,2,0,"2"
ID0422,1,37,0,0,3,1,0,0,1,0,2,2,0,"2"
ID0423,1,25,0,0,2,1,1,1,1,0,3,2,0,"2"
ID0424,1,40,10,2,2,2,1,1,1,1,3,2,0,"2"
ID0425,1,37,14,2,3,3,0,0,0,1,2,2,1,"2"
ID0426,1,30,5,2,2,3,1,1,1,3,3,2,1,"2"
ID0427,1,42,5,1,3,3,1,1,0,3,4,2,1,"2"
ID0428,1,43,5,2,4,2,1,0,0,1,2,0,1,"2"
ID0429,1,49,0,0,4,2,1,0,0,1,4,2,1,"3"
ID0430,1,46,0,0,3,3,1,1,0,3,4,2,1,"2"
ID0431,1,35,0,0,3,3,1,1,0,2,4,2,1,"3"
ID0432,1,58,4,1,4,3,1,1,0,2,4,3,1,"2"
ID0433,1,52,0,0,4,2,1,0,0,1,4,1,1,"2"
ID0434,1,37,0,0,3,3,1,0,0,0,1,2,1,"3"
ID0435,1,31,0,0,4,3,1,1,0,3,3,3,1,"2"
ID0436,1,45,0,0,3,3,1,1,0,2,2,2,1,"2"
ID0437,1,35,0,0,4,3,1,1,0,0,4,2,1,"2"
ID0438,1,39,5,1,3,3,1,1,0,2,3,3,1,"2"
ID0439,1,27,5,1,3,4,1,1,1,3,3,3,1,"2"
ID0440,1,27,5,1,3,3,1,1,0,3,3,2,1,"2"
ID0441,1,49,0,0,4,3,1,0,0,4,4,2,1,"2"
ID0443,1,25,0,0,2,2,1,0,0,2,3,2,1,"2"
ID0444,1,39,0,0,2,2,0,0,0,0,4,2,1,"2"
ID0446,1,41,5,2,2,3,1,1,0,4,2,1,1,"2"
ID0448,1,37,0,0,4,4,1,1,0,0,4,2,1,"2"
ID0450,0,39,10,2,3,3,1,1,0,3,2,2,1,"2"
ID0452,1,47,0,0,3,3,1,1,1,4,4,2,1,"2"
ID0453,1,27,0,0,3,3,1,1,0,0,4,2,1,"2"
ID0455,1,35,8,1,3,3,1,0,0,1,1,2,1,"2"
ID0456,1,37,0,0,4,4,1,1,0,3,3,2,1,"2"
ID0457,1,33,0,1,3,3,1,1,0,1,3,0,1,"3"
ID0458,1,40,0,0,4,2,0,0,0,2,4,1,1,"2"
ID0459,1,30,0,0,4,3,1,0,0,3,2,2,0,"2"
ID0460,1,33,0,0,3,3,1,0,0,4,4,2,0,"2"
ID0462,1,42,0,0,4,2,1,0,0,4,3,1,0,"2"
ID0463,1,35,0,0,3,3,1,1,0,4,4,0,0,"2"
ID0464,1,35,0,0,2,3,1,1,0,2,3,1,0,"2"
ID0466,1,39,0,0,3,3,1,0,0,3,3,1,0,"2"
ID0467,1,36,0,0,3,3,1,1,0,0,4,1,0,"3"
ID0468,1,41,0,0,3,2,1,0,0,0,2,0,0,"2"
ID0470,1,33,0,0,3,3,1,1,0,0,3,0,0,"2"
ID0471,1,29,5,2,3,3,1,1,0,1,2,2,0,"2"
ID0472,1,34,0,0,3,3,1,0,1,1,2,0,0,"2"
ID0473,1,54,0,0,3,2,1,0,0,2,2,1,0,"2"
ID0474,1,37,0,0,5,4,1,1,0,2,3,2,0,"2"
ID0477,1,32,0,0,3,2,1,1,0,0,4,0,0,"2"
ID0478,1,18,8,2,3,2,1,0,0,1,3,2,0,"2"
ID0479,1,32,0,0,4,3,1,0,0,1,4,2,0,"2"
ID0481,1,41,10,2,5,3,1,0,0,1,1,3,0,"2"
ID0484,1,55,4,1,3,2,1,0,0,3,2,0,0,"2"
ID0485,1,18,0,0,3,3,1,0,0,4,4,2,0,"2"
ID0486,1,36,5,2,2,99,1,1,0,4,4,0,0,"2"
ID0487,1,46,0,0,4,3,1,1,0,2,2,0,0,"2"
ID0488,1,51,0,0,3,3,1,0,0,2,1,2,0,"2"
ID0489,1,18,0,0,3,3,1,1,0,0,3,2,0,"2"
ID0490,1,47,0,0,3,3,1,1,0,0,3,2,0,"2"
ID0491,1,28,0,0,3,1,1,0,0,2,4,2,0,"2"
ID0493,1,47,6,2,1,2,1,0,0,4,3,3,0,"2"
ID0495,1,57,5,2,4,2,1,1,1,1,4,1,1,"3"
ID0497,1,47,2,1,2,2,1,1,0,2,4,3,1,"3"
ID0499,1,56,2,1,4,2,1,1,1,3,4,2,1,"3"
ID0503,1,47,10,2,2,2,1,1,0,2,2,1,1,"3"
ID0505,1,56,3,1,2,2,1,1,0,2,3,2,1,"3"
ID0506,1,47,2,1,3,4,0,1,1,2,3,0,0,"1"
ID0507,1,40,3,1,2,3,1,1,0,0,4,3,1,"3"
ID0510,1,40,8,2,5,2,0,1,1,3,4,0,0,"2"
ID0512,1,47,10,2,3,3,0,1,0,2,2,3,1,"2"
ID0513,1,40,5,2,1,2,1,0,0,1,2,1,0,"2"
ID0515,1,47,5,2,2,3,1,0,0,4,2,1,0,"2"
